primeiros(PROG)             -> public
primeiros(CMDS)             -> System.out.println | id | if | while | double | λ
primeiros(DC)               -> double
primeiros(VAR)              -> double
primeiros(VARS)             -> id
primeiros(MAIS_VAR)         -> , | λ
primeiros(TIPO)             -> double
primeiros(MAIS_CMDS)        -> ;
primeiros(CMD_COND)         -> if | while
primeiros(CMD)              -> System.out.println | id
primeiros(PFALSA)           -> else | λ
primeiros(RESTO_IDENT)      -> = | (
primeiros(LISTA_ARG)        -> id | λ
primeiros(ARGUMENTOS)       -> id
primeiros(MAIS_IDENT)       -> , | λ
primeiros(EXP_IDENT)        -> - | id | numero_real | ( | lerDouble
primeiros(CONDICAO)         -> - | id | numero_real | (
primeiros(RELACAO)          -> == | != | >= | <= | > | <
primeiros(EXPRESSAO)        -> - | id | numero_real | (
primeiros(TERMO)            -> - | id | numero_real | (
primeiros(OP_UN)            -> - | λ
primeiros(FATOR)            -> id | numero_real | (
primeiros(OUTROS_TERMOS)    -> + | - | λ
primeiros(OP_AD)            -> + | -
primeiros(MAIS_FATORES)     -> * | / | λ
primeiros(OP_MUL)           -> * | /
